reward 19,reward 20,reward 16,reward 26,reward 14,reward 1,reward 25,reward 28,reward 29,reward 3,reward 5,reward 8,reward 10,reward 21,reward 11,StepNum,reward 9,reward 15,reward 18,reward 7,reward 0,reward 22,reward 6,reward 13,reward 2,reward 12,reward 24,reward 27,reward 17,reward 4,reward 23
-99501.92519476874,-99502.25458518349,-99497.50572134141,-99505.58269892925,-99496.84683441087,272.01979088045886,-99505.22261197849,-99506.72680928026,-99506.81125356162,239.20713966663632,-99443.57492002728,-99472.07662119986,-99483.36866247885,-99502.49972182186,-99483.8127513532,11000,-99477.87551950442,-99497.13629568713,-99501.68954191305,-99463.16161319724,292.60730275135404,-99502.53994553369,-99462.81805576949,-99491.11084857756,251.67298499706763,-99490.9800501703,-99505.21824642125,-99506.33931524263,-99499.15983791792,229.24797612213447,-99503.6935388683
-99497.50572134141,-99498.34375605811,-99493.27681728303,-99502.49972182186,-99490.9800501703,292.60730275135404,-99502.25458518349,-99503.6935388683,-99505.21824642125,251.67298499706763,229.24797612213447,-99463.16161319724,-99477.30579237921,-99499.15983791792,-99477.87551950442,12000,-99472.07662119986,-99491.11084857756,-99497.13629568713,-99462.81805576949,295.1438042040718,-99499.84789655858,-99443.57492002728,-99483.8127513532,272.01979088045886,-99483.36866247885,-99501.92519476874,-99502.53994553369,-99496.84683441087,239.20713966663632,-99501.68954191305
-99493.27681728303,-99496.84683441087,-99483.8127513532,-99501.43941911464,-99477.87551950442,292.60730275135404,-99499.84789655858,-99501.92519476874,-99502.25458518349,264.7703181376506,239.20713966663632,-99443.57492002728,-99463.16161319724,-99497.13629568713,-99472.07662119986,13000,-99462.81805576949,-99483.36866247885,-99491.11084857756,-99443.1500588495,295.1438042040718,-99497.50572134141,229.24797612213447,-99477.30579237921,272.01979088045886,-99474.11775511147,-99499.15983791792,-99501.68954191305,-99490.9800501703,251.67298499706763,-99498.34375605811
-99491.11084857756,-99493.27681728303,-99483.36866247885,-99499.84789655858,-99477.87551950442,292.60730275135404,-99499.15983791792,-99501.68954191305,-99501.92519476874,264.7703181376506,239.20713966663632,-99443.57492002728,-99463.16161319724,-99496.84683441087,-99472.07662119986,14000,-99462.81805576949,-99478.88101482918,-99490.9800501703,-99443.1500588495,295.1438042040718,-99497.13629568713,229.24797612213447,-99477.30579237921,272.01979088045886,-99474.11775511147,-99498.34375605811,-99501.43941911464,-99483.8127513532,251.67298499706763,-99497.50572134141
-99483.8127513532,-99484.28605969231,-99477.87551950442,-99497.13629568713,-99474.11775511147,292.60730275135404,-99496.84683441087,-99498.34375605811,-99499.15983791792,272.01979088045886,251.67298499706763,229.24797612213447,-99443.57492002728,-99486.52835164696,-99462.81805576949,15000,-99443.1500588495,-99477.30579237921,-99483.36866247885,239.20713966663632,295.1438042040718,-99490.9800501703,250.16493109534593,-99472.07662119986,284.54933867992406,-99463.16161319724,-99493.27681728303,-99497.50572134141,-99478.88101482918,264.7703181376506,-99491.11084857756
-99482.9996556895,-99483.36866247885,-99477.30579237921,-99492.40865388613,-99472.07662119986,292.60730275135404,-99491.11084857756,-99496.84683441087,-99497.13629568713,277.60301558415813,264.7703181376506,239.20713966663632,-99443.1500588495,-99483.8127513532,-99443.57492002728,16000,229.24797612213447,-99474.11775511147,-99478.88101482918,250.16493109534593,295.1438042040718,-99484.28605969231,251.67298499706763,-99463.16161319724,284.54933867992406,-99462.81805576949,-99490.9800501703,-99493.27681728303,-99477.87551950442,272.01979088045886,-99486.52835164696
-99478.88101482918,-99482.9996556895,-99474.11775511147,-99491.11084857756,-99463.16161319724,295.1438042040718,-99490.9800501703,-99492.5807049551,-99493.27681728303,284.54933867992406,272.01979088045886,250.16493109534593,229.24797612213447,-99483.36866247885,-99443.1500588495,17000,239.20713966663632,-99472.07662119986,-99477.87551950442,251.67298499706763,314.84223459141464,-99483.8127513532,264.7703181376506,-99462.81805576949,292.60730275135404,-99443.57492002728,-99486.52835164696,-99492.40865388613,-99477.30579237921,277.60301558415813,-99484.28605969231
-99477.87551950442,-99478.88101482918,-99474.11775511147,-99486.52835164696,-99463.16161319724,295.1438042040718,-99484.62904342037,-99491.11084857756,-99492.40865388613,284.54933867992406,272.01979088045886,250.16493109534593,229.24797612213447,-99482.9996556895,-99443.1500588495,18000,239.20713966663632,-99472.07662119986,-99477.30579237921,251.67298499706763,314.84223459141464,-99483.36866247885,264.7703181376506,-99462.81805576949,292.60730275135404,-99443.57492002728,-99484.28605969231,-99490.9800501703,-99474.19081754799,277.60301558415813,-99483.8127513532
-99477.87551950442,-99478.88101482918,-99474.11775511147,-99486.52835164696,-99463.16161319724,295.1438042040718,-99484.62904342037,-99491.11084857756,-99492.40865388613,284.54933867992406,272.01979088045886,250.16493109534593,229.24797612213447,-99482.9996556895,-99443.1500588495,19000,239.20713966663632,-99472.07662119986,-99477.30579237921,251.67298499706763,314.84223459141464,-99483.36866247885,264.7703181376506,-99462.81805576949,292.60730275135404,-99443.57492002728,-99484.28605969231,-99490.9800501703,-99474.19081754799,277.60301558415813,-99483.8127513532
-99474.11775511147,-99474.19081754799,-99462.81805576949,-99483.8127513532,-99443.1500588495,295.1438042040718,-99483.36866247885,-99484.62904342037,-99486.52835164696,284.54933867992406,272.01979088045886,253.42257591416939,250.16493109534593,-99477.30579237921,246.0907083535224,20000,251.67298499706763,-99443.57492002728,-99472.07662119986,258.0363522945608,314.84223459141464,-99477.87551950442,264.7703181376506,229.24797612213447,292.60730275135404,239.20713966663632,-99482.9996556895,-99484.28605969231,-99463.16161319724,277.60301558415813,-99478.88101482918
-99472.07662119986,-99474.11775511147,-99458.78366343891,-99483.36866247885,-99443.1500588495,295.1438042040718,-99482.9996556895,-99484.28605969231,-99484.62904342037,284.54933867992406,272.01979088045886,253.42257591416939,250.16493109534593,-99474.19081754799,246.0907083535224,21000,251.67298499706763,-99443.57492002728,-99463.16161319724,258.0363522945608,314.84223459141464,-99477.30579237921,264.7703181376506,229.24797612213447,292.60730275135404,239.20713966663632,-99478.88101482918,-99483.8127513532,-99462.81805576949,277.60301558415813,-99477.87551950442
-99472.07662119986,-99474.11775511147,-99458.78366343891,-99483.36866247885,-99443.1500588495,295.1438042040718,-99482.9996556895,-99484.28605969231,-99484.62904342037,284.54933867992406,272.01979088045886,253.42257591416939,250.16493109534593,-99474.19081754799,246.0907083535224,22000,251.67298499706763,-99443.57492002728,-99463.16161319724,258.0363522945608,314.84223459141464,-99477.30579237921,264.7703181376506,229.24797612213447,292.60730275135404,239.20713966663632,-99478.88101482918,-99483.8127513532,-99462.81805576949,277.60301558415813,-99477.87551950442
-99463.16161319724,-99472.07662119986,-99443.57492002728,-99478.88101482918,229.24797612213447,297.35196612032354,-99477.87551950442,-99483.36866247885,-99483.8127513532,292.60730275135404,277.60301558415813,258.0363522945608,251.67298499706763,-99474.11775511147,250.16493109534593,23000,253.42257591416939,-99443.1500588495,-99462.81805576949,264.7703181376506,314.84223459141464,-99474.19081754799,272.01979088045886,239.20713966663632,295.1438042040718,246.0907083535224,-99477.30579237921,-99482.9996556895,-99458.78366343891,284.54933867992406,-99474.85828320813
