reward 9,reward 0,reward 8,reward 5,reward 6,reward 7,reward 1,reward 2,StepNum,reward 4,reward 3
179.95478367516426,286.56685926032463,183.0814522573055,211.59996620958364,192.71548648861938,185.10665185737273,273.4871810265695,273.1506624918425,1000,250.10051664702496,253.01238581746546
196.84862496720967,334.42161544543893,203.9896091673924,250.10051664702496,238.51031623497045,211.59996620958364,286.56685926032463,273.4871810265695,2000,253.01238581746546,273.1506624918425
250.10051664702496,344.6510560590767,253.01238581746546,273.1506624918425,261.39380883513627,254.19456715346865,334.42161544543893,307.1637272973925,3000,273.4871810265695,286.56685926032463
253.01238581746546,344.6510560590767,254.19456715346865,273.1506624918425,262.0030823881999,261.39380883513627,334.42161544543893,307.1637272973925,4000,273.4871810265695,286.56685926032463
260.0187046646331,344.6510560590767,261.39380883513627,273.4871810265695,273.1506624918425,262.0030823881999,334.42161544543893,307.1637272973925,5000,282.3532665050109,286.56685926032463
273.1506624918425,344.6510560590767,273.4871810265695,286.56685926032463,282.3532665050109,275.4198437536432,334.42161544543893,323.3566597824795,6000,290.61234196030244,307.1637272973925
273.1506624918425,344.6510560590767,273.4871810265695,286.56685926032463,282.3532665050109,275.4198437536432,334.42161544543893,323.3566597824795,7000,290.61234196030244,307.1637272973925
273.1506624918425,344.6510560590767,273.4871810265695,286.56685926032463,282.3532665050109,275.4198437536432,334.42161544543893,323.3566597824795,8000,290.61234196030244,307.1637272973925
275.4198437536432,344.6510560590767,278.1378692575255,290.61234196030244,286.56685926032463,282.3532665050109,334.42161544543893,333.5177997487969,9000,307.1637272973925,323.3566597824795
282.3532665050109,584.379198454136,283.6319889841207,307.1637272973925,290.61234196030244,286.56685926032463,344.6510560590767,334.42161544543893,10000,323.3566597824795,333.5177997487969
282.3532665050109,584.379198454136,283.6319889841207,307.1637272973925,290.61234196030244,286.56685926032463,344.6510560590767,334.42161544543893,11000,323.3566597824795,333.5177997487969
286.56685926032463,584.379198454136,290.61234196030244,307.17861133585615,307.1637272973925,301.88206587955625,344.6510560590767,334.42161544543893,12000,323.3566597824795,333.5177997487969
293.9492070731188,584.379198454136,301.88206587955625,313.48357721461616,307.17861133585615,307.1637272973925,344.6510560590767,334.42161544543893,13000,323.3566597824795,333.5177997487969
301.88206587955625,584.379198454136,307.1637272973925,323.3566597824795,313.48357721461616,307.17861133585615,344.6510560590767,334.42161544543893,14000,324.2574166499569,333.5177997487969
301.88206587955625,584.379198454136,307.1637272973925,323.3566597824795,313.48357721461616,307.17861133585615,344.6510560590767,334.42161544543893,15000,324.2574166499569,333.5177997487969
301.88206587955625,584.379198454136,307.1637272973925,323.3566597824795,313.48357721461616,307.17861133585615,344.6510560590767,334.42161544543893,16000,324.2574166499569,333.5177997487969
307.1637272973925,584.379198454136,307.17861133585615,323.3566597824795,315.52214871064166,313.48357721461616,344.6510560590767,334.42161544543893,17000,324.2574166499569,333.5177997487969
307.17861133585615,584.379198454136,313.48357721461616,324.2574166499569,323.3566597824795,315.52214871064166,439.6680877011835,344.6510560590767,18000,333.5177997487969,334.42161544543893
307.17861133585615,584.379198454136,313.48357721461616,324.2574166499569,323.3566597824795,315.52214871064166,439.6680877011835,344.6510560590767,19000,333.5177997487969,334.42161544543893
313.48357721461616,584.379198454136,315.52214871064166,324.2574166499569,323.3566597824795,317.34369163353506,439.6680877011835,344.6510560590767,20000,333.5177997487969,334.42161544543893
313.48357721461616,584.379198454136,315.52214871064166,324.2574166499569,323.3566597824795,317.34369163353506,439.6680877011835,344.6510560590767,21000,333.5177997487969,334.42161544543893
313.48357721461616,584.379198454136,315.52214871064166,324.2574166499569,323.3566597824795,317.34369163353506,439.6680877011835,344.6510560590767,22000,333.5177997487969,334.42161544543893
