reward 24,reward 22,reward 21,reward 18,reward 17,reward 10,reward 8,reward 7,reward 3,reward 13,reward 5,reward 29,reward 2,reward 19,reward 23,reward 26,reward 4,reward 14,reward 27,reward 16,reward 1,reward 28,reward 11,reward 12,reward 15,reward 25,StepNum,reward 20,reward 9,reward 6,reward 0
69.22194340618367,69.244111543755,69.30446900678176,69.64633336809187,69.81402185034617,71.08483029487083,71.36179781492089,71.42673425464446,74.86758148907633,70.10980543781031,72.19675681365952,66.44673943657942,75.10251581165028,69.5900789188239,69.22600793016167,67.34877435508183,72.90569443162578,69.97179295944107,67.34161653325336,69.95072404580938,299.5231331566594,67.15492195727381,70.81699909098195,70.2373649726397,69.97150825859966,68.63276939687948,11000,69.5863080750519,71.30846902653231,71.91221852637317,344.33944095523896
69.64633336809187,69.95072404580938,69.95082404580938,69.97179295944107,70.10980543781031,71.30846902653231,71.42673425464446,71.91221852637317,74.86758148907633,70.90558071635868,72.90569443162578,69.22600793016167,75.10251581165028,69.97150825859966,69.81402185034617,69.5863080750519,73.71431200486647,70.81699909098195,69.30446900678176,70.2373649726397,299.5231331566594,69.244111543755,71.08483029487083,70.93501580352809,70.57444721467014,69.5900789188239,12000,69.97046122624532,71.36179781492089,72.19675681365952,344.33944095523896
69.97150825859966,70.10980543781031,70.2373649726397,70.81699909098195,70.85189970163151,71.38552637386329,71.91221852637317,72.19675681365952,74.86758148907633,71.30846902653231,73.18481632236747,69.95072404580938,75.10251581165028,70.57444721467014,69.97179295944107,69.97046122624532,73.71431200486647,71.08483029487083,69.95652422819218,70.90558071635868,299.5231331566594,69.95082404580938,71.36962868701832,71.36179781492089,70.93501580352809,69.97056122624532,13000,70.55491872558832,71.42673425464446,72.90569443162578,344.33944095523896
70.55491872558832,70.62889314025429,70.81699909098195,70.93501580352809,71.08483029487083,72.08997939636504,72.19675681365952,72.28252568370388,74.86758148907633,71.38552637386329,73.18481632236747,69.97056122624532,75.10251581165028,70.90558071635868,70.57444721467014,70.10980543781031,73.71431200486647,71.36962868701832,69.97179295944107,71.30846902653231,299.5231331566594,69.97150825859966,71.91221852637317,71.42673425464446,71.36179781492089,70.2373649726397,14000,70.85189970163151,72.15225012195354,72.90569443162578,344.33944095523896
70.57444721467014,70.81699909098195,70.85189970163151,71.08483029487083,71.30846902653231,72.15225012195354,72.28252568370388,72.28967965735433,74.86758148907633,71.42673425464446,73.18481632236747,69.97150825859966,75.10251581165028,70.93501580352809,70.62889314025429,70.2373649726397,73.71431200486647,71.38552637386329,70.10980543781031,71.36179781492089,299.5231331566594,69.97179295944107,72.08997939636504,71.91221852637317,71.36962868701832,70.55491872558832,15000,70.90558071635868,72.19675681365952,72.90569443162578,344.33944095523896
70.57444721467014,70.81699909098195,70.85189970163151,71.08483029487083,71.30846902653231,72.15225012195354,72.28252568370388,72.28967965735433,74.86758148907633,71.42673425464446,73.18481632236747,69.97179295944107,75.10251581165028,70.93501580352809,70.62889314025429,70.2373649726397,73.71431200486647,71.38552637386329,70.22934589486417,71.36179781492089,299.5231331566594,70.10980543781031,72.08997939636504,71.91221852637317,71.36962868701832,70.55491872558832,16000,70.90558071635868,72.19675681365952,72.90569443162578,344.33944095523896
70.85189970163151,70.93501580352809,71.08483029487083,71.36962868701832,71.38552637386329,72.28967965735433,72.90569443162578,73.18481632236747,75.10251581165028,72.15225012195354,73.71431200486647,70.3597008636857,75.11030457807418,71.36179781492089,70.90558071635868,70.62889314025429,74.86758148907633,72.08997939636504,70.57444721467014,71.42673425464446,299.5231331566594,70.55491872558832,72.28252568370388,72.19675681365952,71.91221852637317,70.81699909098195,17000,71.30846902653231,72.64525156325055,73.54860191462653,344.33944095523896
70.93501580352809,71.27571529379556,71.30846902653231,71.38552637386329,71.39575391516502,72.28967965735433,72.90569443162578,73.18481632236747,75.10251581165028,72.15225012195354,73.71431200486647,70.57444721467014,75.11030457807418,71.36962868701832,71.08483029487083,70.85189970163151,74.86758148907633,72.08997939636504,70.81699909098195,71.42673425464446,299.5231331566594,70.62889314025429,72.28252568370388,72.19675681365952,71.91221852637317,70.90558071635868,18000,71.36179781492089,72.64525156325055,73.54860191462653,344.33944095523896
71.08483029487083,71.27806990462791,71.30846902653231,71.38552637386329,71.39575391516502,72.28967965735433,72.90569443162578,73.18481632236747,75.10251581165028,72.15225012195354,73.71431200486647,70.62889314025429,75.11030457807418,71.36962868701832,71.27571529379556,70.90558071635868,74.86758148907633,72.08997939636504,70.85189970163151,71.42673425464446,299.5231331566594,70.81699909098195,72.28252568370388,72.19675681365952,71.91221852637317,70.93501580352809,19000,71.36179781492089,72.64525156325055,73.54860191462653,344.33944095523896
71.27571529379556,71.30846902653231,71.36179781492089,71.39575391516502,71.42673425464446,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.19675681365952,73.71431200486647,70.81699909098195,75.11030457807418,71.38552637386329,71.27806990462791,70.93501580352809,74.86758148907633,72.15225012195354,70.90558071635868,71.91221852637317,299.5231331566594,70.85189970163151,72.28967965735433,72.28252568370388,72.08997939636504,71.08483029487083,20000,71.36962868701832,72.74554626944952,73.54860191462653,344.33944095523896
