reward 1,reward 4,reward 3,reward 8,reward 0,reward 5,reward 6,StepNum,reward 7,reward 2,reward 9
1487.5918858341288,1436.306992299962,1445.3265091688395,1346.4690810463637,1494.9730345457403,1409.1991630602922,1406.6869580751477,1000,1369.714033336146,1483.5253463658655,1329.673735597266
1574.725816837486,1494.9730345457403,1513.7996684465222,1467.6903043447276,1596.650039200703,1493.5651157819577,1487.5918858341288,2000,1483.5253463658655,1574.424658838174,1464.0661170294006
1588.9664861250772,1574.424658838174,1574.725816837486,1513.7996684465222,1596.650039200703,1560.693230566316,1545.253517015406,3000,1519.5053633747216,1580.9935514667704,1494.9730345457403
1596.650039200703,1580.9935514667704,1582.5979857377738,1550.7974437507567,1608.8316039051037,1574.725816837486,1574.424658838174,4000,1560.693230566316,1588.9664861250772,1545.253517015406
1614.6392227797837,1588.9664861250772,1596.650039200703,1574.424658838174,1686.3353384464883,1582.5979857377738,1580.9935514667704,5000,1574.725816837486,1608.8316039051037,1560.693230566316
1629.9342505171167,1608.8316039051037,1610.8661625708214,1588.9664861250772,1686.3353384464883,1596.650039200703,1594.1967004235426,6000,1593.872405579191,1614.6392227797837,1582.5979857377738
1629.9342505171167,1608.8316039051037,1610.8661625708214,1588.9664861250772,1686.3353384464883,1596.650039200703,1594.1967004235426,7000,1593.872405579191,1614.6392227797837,1582.5979857377738
1629.9342505171167,1608.8316039051037,1610.8661625708214,1588.9664861250772,1686.3353384464883,1596.650039200703,1594.1967004235426,8000,1593.872405579191,1614.6392227797837,1582.5979857377738
1629.9342505171167,1608.8316039051037,1610.8661625708214,1588.9664861250772,1686.3353384464883,1596.650039200703,1594.1967004235426,9000,1593.872405579191,1614.6392227797837,1582.5979857377738
1629.9342505171167,1608.8316039051037,1610.8661625708214,1588.9664861250772,1686.3353384464883,1596.650039200703,1594.1967004235426,10000,1593.872405579191,1614.6392227797837,1587.4490922728314
1629.9342505171167,1608.8316039051037,1610.8661625708214,1593.872405579191,1686.3353384464883,1607.5024017978715,1596.650039200703,11000,1594.1967004235426,1614.6392227797837,1591.0106619449643
1629.9342505171167,1608.8316039051037,1610.8661625708214,1593.872405579191,1686.3353384464883,1607.5024017978715,1596.650039200703,12000,1594.1967004235426,1614.6392227797837,1591.0106619449643
1629.9342505171167,1608.8316039051037,1610.8661625708214,1594.1967004235426,1686.3353384464883,1607.5024017978715,1599.4513938764276,13000,1596.650039200703,1614.6392227797837,1593.872405579191
1629.9342505171167,1608.8316039051037,1610.8661625708214,1595.7566822882884,1686.3353384464883,1607.5024017978715,1599.4513938764276,14000,1596.650039200703,1614.6392227797837,1594.1967004235426
1629.9342505171167,1608.8316039051037,1610.8661625708214,1595.7566822882884,1686.3353384464883,1607.5024017978715,1599.4513938764276,15000,1596.650039200703,1614.6392227797837,1594.1967004235426
1629.9342505171167,1608.8316039051037,1610.8661625708214,1595.7566822882884,1686.3353384464883,1607.5024017978715,1599.4513938764276,16000,1596.650039200703,1614.6392227797837,1594.1967004235426
1629.9342505171167,1608.8316039051037,1610.8661625708214,1595.7566822882884,1686.3353384464883,1607.5024017978715,1599.4513938764276,17000,1596.650039200703,1614.6392227797837,1594.1967004235426
1686.3353384464883,1624.3227862628382,1629.9342505171167,1607.5024017978715,1707.7467382807595,1614.6392227797837,1610.8661625708214,18000,1608.8316039051037,1673.7977370331057,1599.4513938764276
