reward 14,reward 7,reward 17,reward 9,reward 16,reward 6,StepNum,reward 11,reward 15,reward 12,reward 4,reward 13,reward 1,reward 10,reward 18,reward 3,reward 0,reward 5,reward 19,reward 8,reward 2
0,0,0,0,0,0,100,0,0,0,0,0,8.447170965842925,0,0,0,104.73466521651648,0,0,0,6.707303559426682
0,6.707303559426682,0,0,0,7.518092312980709,200,0,0,0,10.08462122115933,0,104.88651377227649,0,0,103.45624048109856,110.18286567184059,8.447170965842925,0,0,104.73466521651648
0,7.518092312980709,0,5.778714599610897,0,8.370995346482442,300,0,0,0,10.08462122115933,0,104.88651377227649,5.699458715041112,0,103.45624048109856,110.18286567184059,8.447170965842925,0,6.707303559426682,104.73466521651648
5.2757429392247985,8.447170965842925,0,7.518092312980709,0,8.786655693490008,400,6.707303559426682,0,5.778714599610897,103.45624048109856,5.699458715041112,104.88651377227649,7.274615728889407,0,104.4951220696005,110.18286567184059,10.08462122115933,0,8.370995346482442,104.73466521651648
5.699458715041112,8.786655693490008,5.083953571849379,8.370995346482442,5.2757429392247985,8.909487137735162,500,7.274615728889407,5.317576717277018,6.707303559426682,103.45624048109856,5.778714599610897,104.88651377227649,7.518092312980709,4.969867356963828,104.4951220696005,110.18286567184059,10.08462122115933,0,8.447170965842925,104.73466521651648
6.707303559426682,8.909487137735162,5.317576717277018,8.786655693490008,5.699458715041112,9.900754879119715,600,8.370995346482442,5.778714599610897,7.518092312980709,103.45624048109856,7.274615728889407,104.88651377227649,8.447170965842925,5.2757429392247985,104.4951220696005,110.18286567184059,10.08462122115933,5.083953571849379,8.907497623031666,104.73466521651648
7.274615728889407,9.900754879119715,5.778714599610897,8.907497623031666,6.412335650188758,10.08462122115933,700,8.447170965842925,6.707303559426682,8.370995346482442,103.45624048109856,7.518092312980709,104.88651377227649,8.786655693490008,5.699458715041112,104.4951220696005,110.18286567184059,10.644824338301913,5.585318238340091,8.909487137735162,104.73466521651648
7.518092312980709,9.900754879119715,6.53448612055145,8.907497623031666,6.707303559426682,10.08462122115933,800,8.447170965842925,7.274615728889407,8.370995346482442,103.45624048109856,7.70784545122293,104.88651377227649,8.786655693490008,6.412335650188758,104.4951220696005,110.18286567184059,10.644824338301913,5.778714599610897,8.909487137735162,104.73466521651648
7.70784545122293,9.900754879119715,7.116089919286521,8.907497623031666,7.274615728889407,10.08462122115933,900,8.786655693490008,7.518092312980709,8.447170965842925,103.45624048109856,8.370995346482442,104.88651377227649,8.83616191902166,6.707303559426682,104.4951220696005,110.18286567184059,10.644824338301913,6.53448612055145,8.909487137735162,104.73466521651648
8.447170965842925,10.08462122115933,7.518092312980709,8.909487137735162,7.70784545122293,10.137270582782675,1000,8.83616191902166,8.370995346482442,8.786655693490008,103.45624048109856,8.473370399684361,104.88651377227649,8.907497623031666,7.274615728889407,104.4951220696005,110.18286567184059,10.644824338301913,7.116089919286521,9.900754879119715,104.73466521651648
