reward 15,reward 1,reward 13,reward 22,reward 11,reward 26,reward 5,StepNum,reward 19,reward 0,reward 27,reward 2,reward 3,reward 23,reward 20,reward 14,reward 12,reward 16,reward 9,reward 18,reward 10,reward 6,reward 25,reward 4,reward 17,reward 21,reward 29,reward 24,reward 8,reward 28,reward 7
-98228.31944729738,635.0690716367727,-98201.99598532733,-98271.64471361457,-98188.16593985383,-98289.36833964425,604.5447257996426,11000,-98243.52707513596,664.2274193668964,-98289.65726700725,619.5891389235895,616.4511492351379,-98278.56744056601,-98250.44957197981,-98203.61789271656,-98188.79378475394,-98231.49478523075,-98125.62713462589,-98243.49493706836,-98179.03075495905,558.6044916340027,-98289.30226309299,613.784667479423,-98241.4097436736,-98258.75682968818,-98298.89926580478,-98287.26804097882,-98115.79498989363,-98296.88546643323,435.0227170144911
-98188.79378475394,635.0690716367727,-98179.03075495905,-98243.52707513596,-98125.62713462589,-98271.64471361457,614.6512806466424,12000,-98231.49478523075,664.2274193668964,-98274.50625262452,630.7785740116523,619.5891389235895,-98250.44957197981,-98241.4097436736,-98188.16593985383,-98159.32849525107,-98201.99598532733,435.0227170144911,-98228.31944729738,-98115.79498989363,613.784667479423,-98258.75682968818,616.4511492351379,-98203.61789271656,-98243.49493706836,-98287.26804097882,-98253.4935430207,558.6044916340027,-98278.56744056601,604.5447257996426
-98188.79378475394,635.0690716367727,-98179.03075495905,-98243.52707513596,-98125.62713462589,-98271.64471361457,614.6512806466424,13000,-98231.49478523075,664.2274193668964,-98274.50625262452,630.7785740116523,619.5891389235895,-98250.44957197981,-98241.4097436736,-98188.16593985383,-98159.32849525107,-98201.99598532733,435.0227170144911,-98228.31944729738,-98115.79498989363,613.784667479423,-98258.75682968818,616.4511492351379,-98203.61789271656,-98243.49493706836,-98287.26804097882,-98253.4935430207,558.6044916340027,-98278.56744056601,604.5447257996426
-98159.32849525107,635.0690716367727,-98115.79498989363,-98231.49478523075,475.10184951194265,-98250.44957197981,616.4511492351379,14000,-98201.99598532733,664.2274193668964,-98253.4935430207,630.7785740116523,628.7249473413298,-98241.4097436736,-98203.61789271656,-98125.62713462589,435.0227170144911,-98179.03075495905,604.5447257996426,-98188.79378475394,558.6044916340027,614.6512806466424,-98243.52707513596,619.5891389235895,-98188.16593985383,-98228.31944729738,-98271.64471361457,-98243.49493706836,611.5126175849558,-98258.75682968818,613.784667479423
-98125.62713462589,635.0690716367727,435.0227170144911,-98203.61789271656,558.6044916340027,-98243.49493706836,616.9567374337277,15000,-98188.79378475394,664.2274193668964,-98243.52707513596,630.7785740116523,628.7249473413298,-98228.31944729738,-98199.3331868353,-98115.79498989363,475.10184951194265,-98159.32849525107,611.5126175849558,-98188.16593985383,604.5447257996426,616.4511492351379,-98241.4097436736,619.5891389235895,-98179.03075495905,-98201.99598532733,-98253.4935430207,-98231.49478523075,613.784667479423,-98250.44957197981,614.6512806466424
-98115.79498989363,635.0690716367727,475.10184951194265,-98201.99598532733,558.6044916340027,-98241.4097436736,616.9567374337277,16000,-98188.16593985383,664.2274193668964,-98243.49493706836,630.7785740116523,628.7249473413298,-98203.61789271656,-98188.79378475394,435.0227170144911,553.4381746109416,-98125.62713462589,611.5126175849558,-98179.03075495905,604.5447257996426,616.4511492351379,-98231.49478523075,619.5891389235895,-98159.32849525107,-98199.3331868353,-98250.44957197981,-98228.31944729738,613.784667479423,-98243.52707513596,614.6512806466424
435.0227170144911,648.2433111058588,553.4381746109416,-98188.79378475394,604.5447257996426,-98213.39659977224,619.5891389235895,17000,-98159.32849525107,664.2274193668964,-98227.67728697379,635.0690716367727,630.7785740116523,-98199.3331868353,-98179.03075495905,475.10184951194265,558.6044916340027,-98104.89382555333,613.784667479423,-98125.62713462589,611.5126175849558,616.9567374337277,-98203.61789271656,628.7249473413298,-98115.79498989363,-98188.16593985383,-98231.49478523075,-98201.99598532733,614.6512806466424,-98228.31944729738,616.4511492351379
475.10184951194265,648.2433111058588,558.6044916340027,-98188.16593985383,611.5126175849558,-98203.61789271656,619.5891389235895,18000,-98125.62713462589,664.2274193668964,-98213.39659977224,635.0690716367727,630.7785740116523,-98188.79378475394,-98159.32849525107,553.4381746109416,604.5447257996426,435.0227170144911,614.6512806466424,-98115.79498989363,613.784667479423,616.9567374337277,-98201.99598532733,628.7249473413298,-98104.89382555333,-98179.03075495905,-98228.31944729738,-98199.3331868353,616.4511492351379,-98227.67728697379,616.9186902054563
553.4381746109416,648.2433111058588,604.5447257996426,-98133.47827045919,613.784667479423,-98188.79378475394,628.7249473413298,19000,-98104.89382555333,664.2274193668964,-98199.3331868353,636.7271774720641,635.0690716367727,-98159.32849525107,-98115.79498989363,558.6044916340027,611.5126175849558,475.10184951194265,616.4511492351379,435.0227170144911,614.6512806466424,619.5891389235895,-98188.16593985383,630.7785740116523,435.180802078322,-98125.62713462589,-98203.61789271656,-98179.03075495905,616.9186902054563,-98201.99598532733,616.9567374337277
553.4381746109416,648.2433111058588,604.5447257996426,-98133.47827045919,613.784667479423,-98188.79378475394,628.7249473413298,20000,-98104.89382555333,664.2274193668964,-98199.3331868353,636.7271774720641,635.0690716367727,-98159.32849525107,-98115.79498989363,558.6044916340027,611.5126175849558,475.10184951194265,616.4511492351379,435.0227170144911,614.6512806466424,619.5891389235895,-98188.16593985383,630.7785740116523,435.180802078322,-98125.62713462589,-98203.61789271656,-98179.03075495905,616.9186902054563,-98201.99598532733,616.9567374337277
