reward 7,reward 2,reward 4,reward 8,reward 9,reward 6,reward 1,reward 3,reward 0,reward 5,StepNum
1040.2122769682592,1323.897119428622,1244.7292308888261,1037.6671388804207,1003.1990623210928,1213.357915889763,1339.8028577679263,1252.6008560705864,1378.556854341756,1233.367354889886,1000
1323.897119428622,1419.3624546611209,1378.556854341756,1319.866713153402,1290.4539060457746,1339.8028577679263,1473.431996267981,1394.5292424808924,1515.652541588857,1358.3375135836247,2000
1358.3375135836247,1473.431996267981,1394.5292424808924,1339.8028577679263,1333.1045276083619,1364.814302029061,1515.652541588857,1419.3624546611209,1528.1090953781618,1378.556854341756,3000
1377.4300554688061,1487.440115750068,1419.3624546611209,1364.814302029061,1358.3375135836247,1378.556854341756,1515.652541588857,1473.431996267981,1528.1090953781618,1394.5292424808924,4000
1380.0668427190474,1487.440115750068,1419.3624546611209,1378.556854341756,1377.4300554688061,1381.8565365246363,1515.652541588857,1473.431996267981,1528.1090953781618,1394.5292424808924,5000
1381.8565365246363,1487.440115750068,1441.1926113220595,1380.0668427190474,1378.556854341756,1394.5292424808924,1515.652541588857,1473.431996267981,1528.1090953781618,1419.3624546611209,6000
1394.5292424808924,1487.440115750068,1473.431996267981,1381.8565365246363,1380.0668427190474,1419.3624546611209,1515.652541588857,1477.1432601201568,1528.1090953781618,1441.1926113220595,7000
1422.0075606148046,1500.7819980433437,1477.1432601201568,1419.3624546611209,1409.271033169956,1441.1926113220595,1515.652541588857,1487.440115750068,1528.1090953781618,1473.431996267981,8000
1441.1926113220595,1515.652541588857,1487.440115750068,1422.0075606148046,1419.3624546611209,1473.431996267981,1528.1090953781618,1500.7819980433437,1645.6348574244748,1477.1432601201568,9000
1473.431996267981,1515.652541588857,1487.440115750068,1462.105059639904,1458.0211289583167,1477.1432601201568,1528.1090953781618,1500.7819980433437,1645.6348574244748,1481.043156329431,10000
1477.1432601201568,1515.652541588857,1500.7819980433437,1473.431996267981,1462.105059639904,1481.043156329431,1528.1090953781618,1503.2777350444198,1645.6348574244748,1487.440115750068,11000
