reward 29,reward 16,reward 19,reward 4,StepNum,reward 6,reward 25,reward 5,reward 18,reward 3,reward 24,reward 13,reward 22,reward 23,reward 9,reward 15,reward 2,reward 11,reward 27,reward 0,reward 12,reward 1,reward 26,reward 10,reward 8,reward 28,reward 7,reward 20,reward 14,reward 21,reward 17
0,0,0,-98591.58921185008,1000,-98785.70054512864,0,-98738.42615060491,0,-98549.51550319794,0,0,0,0,-99235.28976504116,0,-98548.0560517918,0,0,325.1371554988175,0,289.5085283503329,0,0,-99216.46589485167,0,-99021.65148106085,0,0,0,0
0,-99216.46589485167,-99638.34530490769,-98549.51550319794,2000,-98591.58921185008,0,-98574.99826476845,-99410.91456696838,-98548.0560517918,0,-98975.3180656072,0,0,-98712.75557869195,-99040.67069258883,-98335.69199430473,-98766.44554422254,0,325.1371554988175,-98785.70054512864,289.5085283503329,0,-98738.42615060491,-98687.3082398114,0,-98680.8501698821,0,-99021.65148106085,0,-99235.28976504116
-99410.91456696838,-98751.7202170438,-98785.70054512864,269.76519060470946,3000,-98548.0560517918,-99040.67069258883,-98335.69199430473,-98766.44554422254,281.0622936592884,-99032.39730325084,-98704.81424151338,-99018.51953713447,-99021.65148106085,-98591.58921185008,-98738.42615060491,289.5085283503329,-98680.8501698821,-99216.46589485167,325.1371554988175,-98687.3082398114,309.1224122833373,-99181.92719656344,-98657.90054817795,-98574.99826476845,-99235.28976504116,-98549.51550319794,-98843.19126289213,-98712.75557869195,-98975.3180656072,-98765.56551921602
-98975.3180656072,-98687.3082398114,-98738.42615060491,289.5085283503329,4000,269.76519060470946,-98785.70054512864,281.0622936592884,-98712.75557869195,303.46629750856783,-98766.44554422254,-98632.75051591505,-98753.39039762631,-98765.56551921602,-98549.51550319794,-98680.8501698821,309.1224122833373,-98591.58921185008,-98899.81692299174,404.36886936942284,-98603.65012382514,325.1371554988175,-98843.19126289213,-98574.99826476845,-98548.0560517918,-98905.34517180064,-98335.69199430473,-98748.25920822236,-98657.90054817795,-98751.7202170438,-98704.81424151338
-98748.25920822236,-98549.51550319794,-98603.65012382514,309.1224122833373,5000,290.4231444779204,-98687.3082398114,303.46629750856783,-98591.58921185008,325.1371554988175,-98680.8501698821,-98502.49955681567,-98647.29319696131,-98657.90054817795,281.0622936592884,-98548.0560517918,364.18882117264013,263.5396999118684,-98712.75557869195,404.36886936942284,-98335.69199430473,382.6859366827558,-98704.81424151338,269.76519060470946,288.9938354773523,-98738.42615060491,289.5085283503329,-98613.37528093891,-98533.85233429665,-98632.75051591505,-98574.99826476845
-98712.75557869195,-98548.0560517918,-98591.58921185008,309.1224122833373,6000,290.4231444779204,-98657.90054817795,303.46629750856783,-98574.99826476845,325.1371554988175,-98648.21856295074,-98335.69199430473,-98632.75051591505,-98647.29319696131,281.0622936592884,-98533.85233429665,364.18882117264013,263.5396999118684,-98687.3082398114,404.36886936942284,260.3281076530065,382.6859366827558,-98680.8501698821,269.76519060470946,288.9938354773523,-98704.81424151338,289.5085283503329,-98603.65012382514,-98502.49955681567,-98613.37528093891,-98549.51550319794
-98647.29319696131,247.19982586849795,-98533.85233429665,322.77382591325386,7000,309.1224122833373,-98603.65012382514,321.3382141809311,-98502.49955681567,325.1371554988175,-98591.58921185008,269.76519060470946,-98549.51550319794,-98574.99826476845,290.4231444779204,260.3281076530065,364.18882117264013,288.9938354773523,-98616.25749995312,404.36886936942284,281.0622936592884,382.6859366827558,-98613.37528093891,289.5085283503329,293.4527957369469,-98632.75051591505,303.46629750856783,-98535.45819862273,263.5396999118684,-98548.0560517918,-98335.69199430473
-98613.37528093891,260.3281076530065,-98502.49955681567,325.1371554988175,8000,321.3382141809311,-98550.26777036305,322.77382591325386,-98335.69199430473,363.90773312369765,-98549.83675089975,281.0622936592884,-98548.0560517918,-98549.51550319794,293.4527957369469,263.5396999118684,364.18882117264013,289.5085283503329,-98591.58921185008,404.36886936942284,288.9938354773523,382.6859366827558,-98574.99826476845,290.4231444779204,303.46629750856783,-98603.65012382514,309.1224122833373,-98533.85233429665,269.76519060470946,-98535.45819862273,247.19982586849795
-98549.83675089975,281.0622936592884,260.3281076530065,363.90773312369765,9000,325.1371554988175,-98533.85233429665,327.7382224025951,263.5396999118684,364.18882117264013,-98527.09061036645,290.4231444779204,-98420.32660395301,-98502.49955681567,315.99588496675426,288.9938354773523,382.6859366827558,303.46629750856783,-98548.0560517918,427.53576622725177,293.4527957369469,404.36886936942284,-98535.45819862273,309.1224122833373,321.3382141809311,-98549.51550319794,322.77382591325386,247.19982586849795,289.5085283503329,-98335.69199430473,269.76519060470946
-98537.70135534008,288.9938354773523,263.5396999118684,363.90773312369765,10000,327.7382224025951,-98502.49955681567,356.1300132650679,269.76519060470946,364.18882117264013,-98445.2334205854,293.4527957369469,-98335.69199430473,-98420.32660395301,321.3382141809311,289.5085283503329,382.6859366827558,309.1224122833373,-98533.85233429665,427.53576622725177,303.46629750856783,404.36886936942284,-98527.09061036645,315.99588496675426,322.77382591325386,-98535.45819862273,325.1371554988175,260.3281076530065,290.4231444779204,247.19982586849795,281.0622936592884
