reward 4,reward 22,reward 21,reward 26,reward 8,reward 28,StepNum,reward 13,reward 25,reward 7,reward 3,reward 27,reward 9,reward 18,reward 1,reward 11,reward 20,reward 0,reward 14,reward 2,reward 15,reward 10,reward 12,reward 24,reward 29,reward 19,reward 5,reward 16,reward 23,reward 17,reward 6
190.05261225101083,-99712.3683139343,-99711.01016420317,-99735.75370193597,178.523800066867,-99738.86383252274,11000,-99661.59154269403,-99722.43245883273,182.49963407665737,199.32416569800378,-99737.68130914426,178.3676842176665,-99700.47832533355,209.98409868683075,163.5877934348276,-99706.62881295983,213.9942453420581,-99682.51811865313,207.6105783008461,-99692.85178230345,176.90809302353514,-99439.8328457918,-99720.09596251512,-99740.26032851404,-99704.02973632718,188.6239618491083,-99694.98933481151,-99714.77891416456,-99696.92145917415,188.48638632029045
190.05261225101083,-99711.01016420317,-99706.62881295983,-99722.43245883273,178.523800066867,-99737.68130914426,12000,-99661.59154269403,-99720.09596251512,182.49963407665737,199.32416569800378,-99735.75370193597,178.3676842176665,-99696.92145917415,209.98409868683075,163.5877934348276,-99704.02973632718,213.9942453420581,-99674.04614577234,207.6105783008461,-99682.51811865313,176.90809302353514,-99439.8328457918,-99714.77891416456,-99738.86383252274,-99700.47832533355,188.6239618491083,-99692.85178230345,-99712.3683139343,-99694.98933481151,188.48638632029045
190.05261225101083,-99696.92145917415,-99694.98933481151,-99711.01016420317,182.49963407665737,-99714.77891416456,13000,176.90809302353514,-99706.62881295983,186.5789366366456,199.32416569800378,-99712.3683139343,181.64076162315823,-99674.04614577234,209.98409868683075,178.3676842176665,-99692.85178230345,213.9942453420581,166.45670915812178,207.6105783008461,163.5877934348276,178.523800066867,177.36152537772955,-99704.02973632718,-99718.46567985615,-99682.51811865313,188.6239618491083,-99439.8328457918,-99700.47832533355,-99661.59154269403,188.48638632029045
190.05261225101083,-99696.92145917415,-99694.98933481151,-99711.01016420317,182.49963407665737,-99714.77891416456,14000,176.90809302353514,-99706.62881295983,186.5789366366456,199.32416569800378,-99712.3683139343,181.64076162315823,-99674.04614577234,209.98409868683075,178.3676842176665,-99692.85178230345,213.9942453420581,166.45670915812178,207.6105783008461,163.5877934348276,178.523800066867,177.36152537772955,-99704.02973632718,-99718.36488572908,-99682.51811865313,188.6239618491083,-99439.8328457918,-99700.47832533355,-99661.59154269403,188.48638632029045
199.32416569800378,-99682.51811865313,-99674.04614577234,-99700.47832533355,186.5789366366456,-99704.02973632718,15000,177.36152537772955,-99696.92145917415,188.48638632029045,207.6105783008461,-99700.86649773242,182.49963407665737,-99439.8328457918,213.9942453420581,178.523800066867,-99661.59154269403,245.92021941950665,176.90809302353514,209.98409868683075,166.45670915812178,181.64076162315823,178.3676842176665,-99694.98933481151,-99706.62881295983,-99655.85992405859,190.05261225101083,163.5877934348276,-99692.85178230345,161.0720446507172,188.6239618491083
209.98409868683075,-99655.85992405859,-99605.42933050875,-99692.85178230345,188.6239618491083,-99696.92145917415,16000,178.523800066867,-99682.51811865313,190.05261225101083,213.9942453420581,-99694.98933481151,188.48638632029045,163.5877934348276,245.92021941950665,182.49963407665737,-99439.8328457918,257.4183131932268,178.3676842176665,245.49178294014516,177.36152537772955,186.5789366366456,181.64076162315823,-99674.04614577234,-99700.47832533355,161.0720446507172,207.6105783008461,176.90809302353514,-99661.59154269403,166.45670915812178,199.32416569800378
209.98409868683075,-99439.8328457918,161.0720446507172,-99674.04614577234,194.4068919043409,-99692.85178230345,17000,182.49963407665737,-99661.59154269403,199.32416569800378,213.9942453420581,-99682.51811865313,190.05261225101083,176.90809302353514,245.92021941950665,188.48638632029045,163.5877934348276,257.4183131932268,181.64076162315823,245.49178294014516,178.523800066867,188.6239618491083,186.5789366366456,-99655.85992405859,-99694.98933481151,166.45670915812178,207.6105783008461,178.3676842176665,-99605.42933050875,177.36152537772955,205.25913156750943
211.33894854948323,163.5877934348276,166.45670915812178,-99655.85992405859,199.32416569800378,-99674.04614577234,18000,186.5789366366456,-99605.42933050875,205.25913156750943,213.9942453420581,-99661.59154269403,194.4068919043409,178.3676842176665,245.92021941950665,188.6239618491083,176.90809302353514,257.4183131932268,182.49963407665737,245.49178294014516,181.64076162315823,190.05261225101083,188.48638632029045,-99439.8328457918,-99682.51811865313,177.36152537772955,209.98409868683075,180.83690294152,161.0720446507172,178.523800066867,207.6105783008461
213.9942453420581,166.45670915812178,176.90809302353514,-99605.42933050875,205.25913156750943,-99661.59154269403,19000,188.48638632029045,-99439.8328457918,207.6105783008461,245.49178294014516,-99655.85992405859,199.32416569800378,178.523800066867,257.4183131932268,190.05261225101083,177.36152537772955,290.7685592533501,186.5789366366456,245.92021941950665,182.49963407665737,194.4068919043409,188.6239618491083,161.0720446507172,-99674.04614577234,178.3676842176665,211.33894854948323,181.64076162315823,163.5877934348276,180.83690294152,209.98409868683075
213.9942453420581,166.45670915812178,176.90809302353514,-99605.42933050875,205.25913156750943,-99661.59154269403,20000,188.48638632029045,-99439.8328457918,207.6105783008461,245.49178294014516,-99655.85992405859,199.32416569800378,178.523800066867,257.4183131932268,190.05261225101083,177.36152537772955,290.7685592533501,186.5789366366456,245.92021941950665,182.49963407665737,194.4068919043409,188.6239618491083,161.0720446507172,-99674.04614577234,178.3676842176665,211.33894854948323,181.64076162315823,163.5877934348276,180.83690294152,209.98409868683075
