reward 15,reward 4,reward 5,reward 7,reward 22,reward 1,reward 25,reward 19,reward 6,reward 28,reward 20,reward 24,reward 8,reward 29,reward 23,reward 27,reward 10,reward 3,reward 14,reward 21,reward 13,reward 12,reward 9,reward 2,reward 11,reward 0,reward 17,reward 18,StepNum,reward 26,reward 16
0,-99609.05040939186,-99627.93310276611,-99632.76189327077,0,-99527.87770227931,0,0,-99630.21896198342,0,0,0,-99642.58676719623,0,0,0,0,-99581.96572576754,0,0,0,0,-99642.59802764465,-99558.37982863936,0,165.69061510351324,0,0,1000,0,0
-99630.21896198342,-99558.37982863936,-99560.83386384959,-99581.96572576754,0,165.69061510351324,0,-99642.59802764465,-99569.73324526158,0,-99672.39903632132,0,-99601.84295154018,0,0,0,-99609.70401938813,-99527.87770227931,-99629.62232556357,0,-99627.93310276611,-99624.56232604105,-99609.05040939186,157.74040671171133,-99613.73056317082,171.37963125060412,-99637.42433645052,-99642.58676719623,2000,0,-99632.76189327077
-99581.96572576754,169.57312955209437,165.69061510351324,-99527.87770227931,-99617.3093043518,184.35471801178124,-99629.62232556357,-99609.05040939186,157.74040671171133,-99637.42433645052,-99609.70401938813,-99627.93310276611,-99532.653163691,-99642.58676719623,-99624.56232604105,-99632.76189327077,-99560.33267324319,170.23303000609235,-99570.7193811762,-99613.73056317082,-99569.73324526158,-99568.60102847421,-99558.37982863936,171.37963125060412,-99560.83386384959,240.23562240468056,-99587.1212323739,-99601.84295154018,3000,-99630.21896198342,-99585.24318259906
-99569.73324526158,170.23303000609235,169.57312955209437,157.74040671171133,-99585.24318259906,211.54979515628372,-99595.289212994,-99575.93827722718,165.69061510351324,-99609.70401938813,-99581.96572576754,-99593.30020668442,-99492.98796972405,-99613.73056317082,-99587.1212323739,-99609.05040939186,-99532.653163691,171.37963125060412,-99568.60102847421,-99582.0984636083,-99560.83386384959,-99560.33267324319,-99527.87770227931,184.35471801178124,-99558.37982863936,240.23562240468056,-99571.09193146895,-99574.1493882186,4000,-99601.84295154018,-99570.7193811762
-99532.653163691,184.35471801178124,171.37963125060412,169.57312955209437,-99570.7193811762,240.23562240468056,-99575.93827722718,-99560.83386384959,170.23303000609235,-99585.24318259906,-99568.60102847421,-99574.1493882186,165.69061510351324,-99587.1212323739,-99571.09193146895,-99582.0984636083,157.74040671171133,211.54979515628372,-99527.87770227931,-99569.73324526158,-99517.4491285353,-99492.98796972405,161.8351455806537,219.69554679362764,157.41573462241115,343.7166753395228,-99558.37982863936,-99560.33267324319,5000,-99581.96572576754,-99546.69017330463
-99527.87770227931,184.35471801178124,171.37963125060412,169.57312955209437,-99568.60102847421,240.23562240468056,-99571.09193146895,-99558.55924153353,170.23303000609235,-99581.96572576754,-99560.33267324319,-99570.7193811762,165.69061510351324,-99582.0984636083,-99569.73324526158,-99575.93827722718,157.74040671171133,211.54979515628372,-99522.35036044096,-99560.83386384959,-99517.4491285353,-99492.98796972405,161.8351455806537,219.69554679362764,157.41573462241115,343.7166753395228,-99546.69017330463,-99558.37982863936,6000,-99574.1493882186,-99532.653163691
155.6993944026683,184.35471801178124,179.66546126247118,171.37963125060412,-99546.69017330463,240.23562240468056,-99558.7870943106,-99527.87770227931,174.92891430481907,-99568.60102847421,-99532.653163691,-99558.55924153353,170.23303000609235,-99569.73324526158,-99558.37982863936,-99560.83386384959,168.69672253183683,211.54979515628372,157.41573462241115,-99544.39851415444,157.74040671171133,161.8351455806537,169.57312955209437,219.69554679362764,165.69061510351324,343.7166753395228,-99517.4491285353,-99522.35036044096,7000,-99560.33267324319,-99492.98796972405
161.8351455806537,211.54979515628372,197.98190215782216,180.13868574539347,-99522.35036044096,240.23562240468056,-99544.39851415444,143.91303332453904,184.35471801178124,-99558.55924153353,-99492.98796972405,-99532.653163691,179.66546126247118,-99558.7870943106,-99527.87770227931,-99558.37982863936,171.37963125060412,213.2364932203032,165.69061510351324,-99517.4491285353,168.69672253183683,169.57312955209437,174.92891430481907,219.69554679362764,170.23303000609235,343.7166753395228,157.41573462241115,155.6993944026683,8000,-99546.69017330463,157.74040671171133
165.69061510351324,211.54979515628372,197.98190215782216,180.13868574539347,-99492.98796972405,240.23562240468056,-99527.87770227931,155.6993944026683,184.35471801178124,-99546.69017330463,145.91384279748496,-99522.35036044096,179.66546126247118,-99558.37982863936,-99517.4491285353,-99544.39851415444,172.63133297327633,213.2364932203032,168.69672253183683,143.91303332453904,169.57312955209437,170.23303000609235,174.92891430481907,219.69554679362764,171.37963125060412,343.7166753395228,157.74040671171133,157.41573462241115,9000,-99532.653163691,161.8351455806537
169.57312955209437,211.54979515628372,197.98190215782216,190.20132747294915,155.6993944026683,240.23562240468056,143.91303332453904,161.8351455806537,194.92825875501242,-99522.35036044096,157.74040671171133,145.91384279748496,184.35471801178124,-99527.87770227931,155.2393893962334,-99517.4491285353,179.66546126247118,213.2364932203032,170.23303000609235,157.41573462241115,171.37963125060412,172.63133297327633,180.13868574539347,219.69554679362764,174.92891430481907,343.7166753395228,165.69061510351324,162.94843091182707,10000,-99492.98796972405,168.69672253183683
