reward 29,reward 22,reward 21,reward 2,reward 15,reward 23,reward 24,reward 19,reward 14,reward 1,reward 28,StepNum,reward 25,reward 20,reward 16,reward 3,reward 10,reward 0,reward 9,reward 7,reward 18,reward 8,reward 5,reward 12,reward 26,reward 13,reward 11,reward 6,reward 27,reward 17,reward 4
-99532.68163030922,302.0731830279572,304.77620908215346,364.3578338468513,317.78161302705115,295.6624036938312,292.6834939702347,309.9941286284178,317.8481276778499,398.5042916585321,-99522.43159600403,13000,-99459.62735155023,309.9017979553772,317.55508243098745,338.22088389383134,322.7535821896627,399.8653269533957,325.5889353617576,328.0864159045042,310.31407708143,326.80544660621774,332.526094667258,319.9612655813229,-99515.60718961412,317.97826482438325,322.66176906245823,328.6428337952979,-99520.91078099918,316.44804076397645,336.20676490733507
-99520.91078099918,304.77620908215346,309.9017979553772,364.3578338468513,317.8481276778499,302.0731830279572,296.0283659250664,310.31407708143,317.97826482438325,398.5042916585321,-99515.60718961412,14000,295.6624036938312,309.9941286284178,317.78161302705115,338.22088389383134,325.5889353617576,399.8653269533957,326.80544660621774,328.0864159045042,316.44804076397645,326.823195000652,332.526094667258,322.66176906245823,292.6834939702347,319.9612655813229,322.7535821896627,328.6428337952979,-99459.62735155023,317.55508243098745,336.20676490733507
-99515.60718961412,304.77620908215346,309.9017979553772,364.3578338468513,317.8481276778499,302.0731830279572,296.0283659250664,310.31407708143,317.97826482438325,398.5042916585321,-99459.62735155023,15000,295.6624036938312,309.9941286284178,317.78161302705115,338.22088389383134,325.5889353617576,399.8653269533957,326.80544660621774,328.0864159045042,316.44804076397645,326.823195000652,332.526094667258,322.66176906245823,292.6834939702347,319.9612655813229,322.7535821896627,328.6428337952979,281.78398840327145,317.55508243098745,336.20676490733507
289.87105488680845,309.9941286284178,310.31407708143,364.3578338468513,319.9612655813229,309.9017979553772,304.77620908215346,317.55508243098745,322.66176906245823,398.5042916585321,292.6834939702347,16000,302.0731830279572,316.44804076397645,317.97826482438325,341.52645545483426,326.823195000652,399.8653269533957,327.14185437309646,328.6428337952979,317.78161302705115,328.0864159045042,336.20676490733507,325.5889353617576,296.0283659250664,322.7535821896627,326.80544660621774,332.526094667258,295.6624036938312,317.8481276778499,338.22088389383134
292.6834939702347,310.31407708143,316.44804076397645,364.3578338468513,322.66176906245823,309.9941286284178,309.9017979553772,317.78161302705115,322.7535821896627,398.5042916585321,295.6624036938312,17000,304.77620908215346,317.55508243098745,319.9612655813229,354.5503519416399,327.14185437309646,399.8653269533957,328.0864159045042,332.526094667258,317.8481276778499,328.6428337952979,338.22088389383134,326.80544660621774,302.0731830279572,325.5889353617576,326.823195000652,336.20676490733507,296.0283659250664,317.97826482438325,341.52645545483426
296.0283659250664,316.44804076397645,317.55508243098745,365.0524384350083,322.7535821896627,310.31407708143,309.9941286284178,317.8481276778499,325.5889353617576,398.5042916585321,296.08219576258597,18000,309.9017979553772,317.78161302705115,322.66176906245823,364.3578338468513,328.0864159045042,399.8653269533957,328.6428337952979,336.20676490733507,317.97826482438325,332.526094667258,341.52645545483426,326.823195000652,304.77620908215346,326.80544660621774,327.14185437309646,338.22088389383134,302.0731830279572,319.9612655813229,354.5503519416399
296.08219576258597,316.44804076397645,317.55508243098745,365.0524384350083,322.7535821896627,314.1340210335754,310.31407708143,317.8481276778499,325.5889353617576,398.5042916585321,302.0731830279572,19000,309.9941286284178,317.78161302705115,322.66176906245823,364.3578338468513,328.0864159045042,399.8653269533957,328.6428337952979,336.20676490733507,317.97826482438325,332.526094667258,341.52645545483426,326.823195000652,309.9017979553772,326.80544660621774,327.14185437309646,338.22088389383134,304.77620908215346,319.9612655813229,354.5503519416399
304.77620908215346,317.55508243098745,317.78161302705115,367.29489144518857,325.5889353617576,316.44804076397645,314.1340210335754,317.97826482438325,326.80544660621774,398.5042916585321,309.9017979553772,20000,313.03755436135646,317.8481276778499,322.7535821896627,365.0524384350083,328.6428337952979,399.8653269533957,332.526094667258,338.22088389383134,319.9612655813229,336.20676490733507,354.5503519416399,327.14185437309646,310.31407708143,326.823195000652,328.0864159045042,341.52645545483426,309.9941286284178,322.66176906245823,364.3578338468513
309.9941286284178,317.8481276778499,317.97826482438325,367.29489144518857,326.823195000652,317.78161302705115,317.55508243098745,322.66176906245823,327.14185437309646,398.5042916585321,310.31407708143,21000,316.44804076397645,319.9612655813229,326.80544660621774,365.0524384350083,329.21410598913997,399.8653269533957,332.526094667258,338.22088389383134,322.7535821896627,336.20676490733507,354.5503519416399,328.0864159045042,314.1340210335754,327.21537347944434,328.6428337952979,341.52645545483426,313.03755436135646,325.5889353617576,364.3578338468513
309.9941286284178,317.8481276778499,317.97826482438325,367.29489144518857,326.823195000652,317.78161302705115,317.55508243098745,322.66176906245823,327.14185437309646,398.5042916585321,310.31407708143,22000,316.44804076397645,319.9612655813229,326.80544660621774,365.0524384350083,329.21410598913997,399.8653269533957,332.526094667258,338.22088389383134,322.7535821896627,336.20676490733507,354.5503519416399,328.0864159045042,314.1340210335754,327.21537347944434,328.6428337952979,341.52645545483426,313.03755436135646,325.5889353617576,364.3578338468513
