reward 22,reward 23,reward 24,reward 0,reward 25,reward 21,reward 18,reward 9,reward 6,reward 14,reward 1,reward 19,reward 16,reward 28,reward 15,reward 4,reward 8,reward 26,reward 13,reward 11,reward 7,reward 3,reward 29,StepNum,reward 27,reward 2,reward 10,reward 5,reward 20,reward 17,reward 12
0,0,0,328.3133036902123,0,0,0,-99564.61008283574,-99548.64609273414,0,-99496.4557738273,0,0,0,0,-99541.7042386132,-99563.45556129051,0,0,0,-99551.29303706161,-99525.41614733651,0,1000,0,-99515.15157849995,0,-99544.02208245613,0,0,0
0,0,0,510.6266276139015,0,0,-99572.36855233672,-99541.38373469916,-99527.7188143794,-99551.29303706161,328.3133036902123,-99572.66798803849,-99564.61008283574,0,-99563.45556129051,-99515.76573354147,-99537.59380351828,0,-99549.50506537284,-99544.02208245613,-99534.58521530968,-99515.15157849995,0,2000,0,-99496.4557738273,-99541.7042386132,-99525.41614733651,0,-99568.08855006302,-99548.64609273414
-99549.50506537284,-99551.29303706161,-99554.40773177058,510.6266276139015,-99563.45556129051,-99548.64609273414,-99541.38373469916,-99515.76573354147,-99496.4557738273,-99530.25112746644,426.1039863220608,-99541.7042386132,-99537.59380351828,-99572.36855233672,-99534.58521530968,349.1535074023137,-99515.15157849995,-99564.61008283574,-99528.23196583371,-99525.41614733651,-99514.58346890354,360.5335364131199,-99572.66798803849,3000,-99568.08855006302,366.7263622315246,-99525.00985810783,328.3133036902123,-99544.02208245613,-99539.83540500204,-99527.7188143794
