reward 19,reward 11,reward 8,reward 29,StepNum,reward 1,reward 28,reward 25,reward 7,reward 22,reward 0,reward 15,reward 10,reward 17,reward 18,reward 9,reward 4,reward 27,reward 5,reward 2,reward 20,reward 16,reward 24,reward 12,reward 3,reward 13,reward 14,reward 21,reward 23,reward 6,reward 26
-99526.55004205837,270.38047687136293,284.45743793721215,-99559.00922309347,11000,374.59167660652037,-99558.43064441223,-99552.18871168554,288.4986045299253,-99545.44416479033,407.2138798029901,249.20138909145763,270.96302911691356,-99498.58100314115,-99524.4478098813,278.8542530450188,317.6168624800791,-99554.43682067192,314.40913133517745,368.7829471585018,-99540.94929354495,-99475.46316117722,-99550.08477191738,261.98923177800447,322.13533983159584,253.85594812352443,253.80919217157097,-99543.79938388788,-99548.83666085225,309.82892019038036,-99552.48698170198
-99526.55004205837,270.38047687136293,284.45743793721215,-99554.43682067192,12000,374.59167660652037,-99552.48698170198,-99548.83666085225,288.4986045299253,-99543.79938388788,407.2138798029901,249.20138909145763,270.96302911691356,-99498.58100314115,-99524.4478098813,278.8542530450188,317.6168624800791,-99552.18871168554,314.40913133517745,368.7829471585018,-99536.67608402007,-99475.46316117722,-99545.44416479033,261.98923177800447,322.13533983159584,253.85594812352443,253.80919217157097,-99540.94929354495,-99544.9814559322,309.82892019038036,-99550.08477191738
-99475.46316117722,284.45743793721215,309.82892019038036,-99550.08477191738,13000,374.59167660652037,-99548.83666085225,-99543.79938388788,314.40913133517745,-99526.55004205837,407.2138798029901,261.98923177800447,288.4986045299253,253.80919217157097,249.20138909145763,297.74891953255815,332.17923790804036,-99545.44416479033,322.13533983159584,368.7829471585018,-99498.58100314115,253.85594812352443,-99540.94929354495,278.8542530450188,342.91913605282195,270.96302911691356,270.38047687136293,-99524.4478098813,-99536.67608402007,317.6168624800791,-99544.9814559322
-99475.46316117722,284.45743793721215,309.82892019038036,-99548.83666085225,14000,374.59167660652037,-99545.44416479033,-99543.79938388788,314.40913133517745,-99526.55004205837,407.2138798029901,261.98923177800447,288.4986045299253,253.80919217157097,249.20138909145763,297.74891953255815,332.17923790804036,-99544.9814559322,322.13533983159584,368.7829471585018,-99498.58100314115,253.85594812352443,-99540.94929354495,278.8542530450188,342.91913605282195,270.96302911691356,270.38047687136293,-99524.4478098813,-99536.67608402007,317.6168624800791,-99544.04892327156
-99475.46316117722,284.45743793721215,309.82892019038036,-99545.44416479033,15000,374.59167660652037,-99544.9814559322,-99540.94929354495,314.40913133517745,-99526.55004205837,407.2138798029901,261.98923177800447,288.4986045299253,253.80919217157097,249.20138909145763,297.74891953255815,332.17923790804036,-99544.04892327156,322.13533983159584,368.7829471585018,-99498.58100314115,253.85594812352443,-99536.67608402007,278.8542530450188,342.91913605282195,270.96302911691356,270.38047687136293,-99524.4478098813,-99529.799443495,317.6168624800791,-99543.79938388788
249.20138909145763,288.4986045299253,311.2566242177317,-99544.04892327156,16000,374.59167660652037,-99543.79938388788,-99529.799443495,314.40913133517745,-99498.58100314115,407.2138798029901,270.38047687136293,297.74891953255815,253.85594812352443,253.80919217157097,309.82892019038036,332.17923790804036,-99540.94929354495,322.13533983159584,368.7829471585018,-99169.46441250085,261.98923177800447,-99526.55004205837,284.45743793721215,342.91913605282195,278.8542530450188,270.96302911691356,-99475.46316117722,-99524.4478098813,317.6168624800791,-99536.67608402007
253.80919217157097,288.4986045299253,311.2566242177317,-99540.94929354495,17000,374.59167660652037,-99536.67608402007,-99525.80753554267,314.40913133517745,-99475.46316117722,407.2138798029901,270.38047687136293,297.74891953255815,256.04458567430225,253.85594812352443,309.82892019038036,332.17923790804036,-99529.799443495,322.13533983159584,368.7829471585018,249.20138909145763,261.98923177800447,-99524.4478098813,284.45743793721215,342.91913605282195,278.8542530450188,270.96302911691356,-99169.46441250085,-99498.58100314115,317.6168624800791,-99526.55004205837
253.85594812352443,297.74891953255815,314.40913133517745,-99529.799443495,18000,374.59167660652037,-99526.55004205837,-99522.19589993502,317.6168624800791,-99169.46441250085,407.2138798029901,270.96302911691356,309.82892019038036,261.98923177800447,256.04458567430225,311.2566242177317,332.17923790804036,-99525.80753554267,322.4499256421668,368.7829471585018,253.80919217157097,270.38047687136293,-99498.58100314115,288.4986045299253,342.91913605282195,284.45743793721215,278.8542530450188,249.20138909145763,-99475.46316117722,322.13533983159584,-99524.4478098813
261.98923177800447,309.82892019038036,317.6168624800791,-99525.80753554267,19000,374.59167660652037,-99524.4478098813,-99475.46316117722,322.13533983159584,253.80919217157097,407.2138798029901,284.45743793721215,311.2566242177317,270.96302911691356,270.38047687136293,314.40913133517745,332.17923790804036,-99522.19589993502,322.4499256421668,368.7829471585018,256.04458567430225,278.8542530450188,-99169.46441250085,308.9263850426993,342.91913605282195,297.74891953255815,288.4986045299253,253.85594812352443,249.20138909145763,322.3946102560306,-99498.58100314115
270.38047687136293,309.82892019038036,317.6168624800791,-99524.4478098813,20000,374.59167660652037,-99522.19589993502,-99169.46441250085,322.13533983159584,253.85594812352443,407.2138798029901,284.45743793721215,311.2566242177317,278.8542530450188,270.96302911691356,314.40913133517745,332.17923790804036,-99498.58100314115,322.4499256421668,368.7829471585018,261.98923177800447,283.68121836995493,249.20138909145763,308.9263850426993,342.91913605282195,297.74891953255815,288.4986045299253,256.04458567430225,253.80919217157097,322.3946102560306,-99475.46316117722
