reward 22,reward 7,reward 2,reward 24,reward 1,reward 17,reward 3,reward 9,reward 26,StepNum,reward 25,reward 18,reward 28,reward 8,reward 15,reward 20,reward 6,reward 19,reward 14,reward 11,reward 4,reward 0,reward 21,reward 10,reward 23,reward 12,reward 27,reward 5,reward 29,reward 16,reward 13
162.77497283247874,242.63007888737062,380.2867603608944,162.15206790764398,382.887896122621,164.5599002890267,376.9217977302163,232.03981953374043,161.20353041383655,15000,161.21339779915667,164.29316804077504,160.81100383458545,233.82930569942732,165.57036447046823,162.9037163873994,245.29345606374602,163.8588351357662,166.08633971352901,169.8768148507566,367.182626596038,401.9926776663359,162.86702016797653,230.90147934009823,162.64143491461482,167.01608094904026,161.13039169392437,348.52907473628443,160.7224290051122,165.44204869836517,166.57176233026297
162.86702016797653,242.63007888737062,380.2867603608944,162.64143491461482,382.887896122621,164.5599002890267,376.9217977302163,232.03981953374043,162.15206790764398,16000,162.56020823364582,164.29316804077504,161.20353041383655,233.82930569942732,165.57036447046823,163.20139313092284,245.29345606374602,163.8588351357662,166.08633971352901,169.8768148507566,367.182626596038,401.9926776663359,162.9037163873994,230.90147934009823,162.77497283247874,167.01608094904026,161.21339779915667,348.52907473628443,161.13039169392437,165.44204869836517,166.57176233026297
162.86702016797653,242.63007888737062,380.2867603608944,162.64143491461482,382.887896122621,164.5599002890267,376.9217977302163,232.03981953374043,162.15206790764398,17000,162.56020823364582,164.29316804077504,161.21339779915667,233.82930569942732,165.57036447046823,163.20139313092284,245.29345606374602,163.8588351357662,166.08633971352901,169.8768148507566,367.182626596038,401.9926776663359,162.9037163873994,230.90147934009823,162.77497283247874,167.01608094904026,162.13825287809772,348.52907473628443,161.20353041383655,165.44204869836517,166.57176233026297
162.9037163873994,242.63007888737062,380.2867603608944,162.77497283247874,382.887896122621,164.5599002890267,376.9217977302163,232.03981953374043,162.56020823364582,18000,162.64143491461482,164.29316804077504,162.13825287809772,233.82930569942732,165.57036447046823,163.27768567089922,245.29345606374602,163.8588351357662,166.08633971352901,169.8768148507566,367.182626596038,401.9926776663359,163.20139313092284,230.90147934009823,162.86702016797653,167.01608094904026,162.15206790764398,348.52907473628443,161.21339779915667,165.44204869836517,166.57176233026297
163.20139313092284,242.63007888737062,380.2867603608944,162.86702016797653,382.887896122621,165.44204869836517,376.9217977302163,232.03981953374043,162.64143491461482,19000,162.77497283247874,164.5599002890267,162.15206790764398,233.82930569942732,166.08633971352901,163.8588351357662,245.29345606374602,164.29316804077504,166.57176233026297,169.8768148507566,367.182626596038,401.9926776663359,163.27768567089922,230.90147934009823,162.9037163873994,168.36844822754384,162.56020823364582,348.52907473628443,162.13825287809772,165.57036447046823,167.01608094904026
163.20139313092284,242.63007888737062,380.2867603608944,162.86702016797653,382.887896122621,165.44204869836517,376.9217977302163,232.03981953374043,162.64143491461482,20000,162.77497283247874,164.5599002890267,162.15206790764398,233.82930569942732,166.08633971352901,163.8588351357662,245.29345606374602,164.29316804077504,166.57176233026297,169.8768148507566,367.182626596038,401.9926776663359,163.27768567089922,230.90147934009823,162.9037163873994,168.36844822754384,162.56020823364582,348.52907473628443,162.13825287809772,165.57036447046823,167.01608094904026
163.31516814933167,245.29345606374602,380.2867603608944,163.20139313092284,382.887896122621,165.57036447046823,376.9217977302163,233.82930569942732,162.86702016797653,21000,162.9037163873994,165.44204869836517,162.64143491461482,242.63007888737062,166.57176233026297,164.29316804077504,348.52907473628443,164.5599002890267,167.01608094904026,230.90147934009823,367.182626596038,401.9926776663359,163.8588351357662,232.03981953374043,163.27768567089922,169.8768148507566,162.77497283247874,355.78960747448036,162.56020823364582,166.08633971352901,168.36844822754384
163.31516814933167,245.29345606374602,380.2867603608944,163.20139313092284,382.887896122621,165.57036447046823,376.9217977302163,233.82930569942732,162.86702016797653,22000,162.9037163873994,165.44204869836517,162.64143491461482,242.63007888737062,166.57176233026297,164.29316804077504,348.52907473628443,164.5599002890267,167.01608094904026,230.90147934009823,367.182626596038,401.9926776663359,163.8588351357662,232.03981953374043,163.27768567089922,169.8768148507566,162.77497283247874,355.78960747448036,162.56020823364582,166.08633971352901,168.36844822754384
164.5599002890267,348.52907473628443,382.887896122621,163.8588351357662,401.9926776663359,166.57176233026297,380.2867603608944,242.63007888737062,163.27768567089922,23000,163.31516814933167,166.08633971352901,162.9037163873994,245.29345606374602,168.36844822754384,165.44204869836517,355.78960747448036,165.57036447046823,169.8768148507566,233.82930569942732,376.9217977302163,435.3561975417414,165.1801081679992,242.1044110002045,164.29316804077504,232.03981953374043,163.20139313092284,367.182626596038,162.86702016797653,167.01608094904026,230.90147934009823
164.5599002890267,348.52907473628443,382.887896122621,163.8588351357662,401.9926776663359,166.57176233026297,380.2867603608944,242.63007888737062,163.27768567089922,24000,163.31516814933167,166.08633971352901,162.9037163873994,245.29345606374602,168.36844822754384,165.44204869836517,355.78960747448036,165.57036447046823,169.8768148507566,233.82930569942732,376.9217977302163,435.3561975417414,165.1801081679992,242.1044110002045,164.29316804077504,232.03981953374043,163.20139313092284,367.182626596038,162.86702016797653,167.01608094904026,230.90147934009823
