reward 7,reward 3,reward 5,reward 8,reward 6,reward 9,reward 0,reward 4,StepNum,reward 1,reward 2
1272.7485869778789,1364.5194460737534,1289.708883819782,1233.2772360020908,1285.915366478047,1208.3921391101223,1532.8871366560816,1309.8085431281188,1000,1520.0370679357873,1500.807403740382
1532.8871366560816,1618.5187693230232,1584.2239502932655,1520.0370679357873,1561.0193746654556,1500.807403740382,1689.0184676998383,1597.804866979498,2000,1679.4442812833931,1640.7544321410164
1597.804866979498,1640.7544321410164,1614.3856310526753,1584.2239502932655,1604.2868267654637,1561.0193746654556,1689.0184676998383,1618.5187693230232,3000,1679.4442812833931,1663.8564139384962
1618.5187693230232,1679.4442812833931,1663.8564139384962,1616.7974013697878,1640.7544321410164,1614.3856310526753,1736.484308154614,1664.429930856697,4000,1689.0184676998383,1679.5398765386929
1664.429930856697,1689.0184676998383,1679.4442812833931,1663.8564139384962,1667.2791867141095,1640.7544321410164,1742.8275620179274,1679.5398765386929,5000,1736.484308154614,1696.1699098593622
1679.5398765386929,1730.3728909287097,1696.1699098593622,1679.4442812833931,1689.0184676998383,1669.0545334133044,1742.8275620179274,1717.43590482215,6000,1738.6151905982294,1736.484308154614
1689.0184676998383,1730.3728909287097,1696.7125232496508,1679.5398765386929,1696.1699098593622,1679.4442812833931,1742.8275620179274,1717.43590482215,7000,1738.6151905982294,1736.484308154614
1696.1699098593622,1730.3728909287097,1717.43590482215,1689.0184676998383,1696.7125232496508,1679.5398765386929,1742.8275620179274,1728.177245963707,8000,1738.6151905982294,1736.484308154614
1696.7125232496508,1730.3728909287097,1717.43590482215,1696.1699098593622,1708.7943584386271,1689.0184676998383,1742.8275620179274,1728.177245963707,9000,1738.6151905982294,1736.484308154614
1708.7943584386271,1736.484308154614,1728.177245963707,1696.7125232496508,1717.43590482215,1696.1699098593622,1812.1270053419253,1730.3728909287097,10000,1742.8275620179274,1738.6151905982294
1728.177245963707,1742.8275620179274,1736.484308154614,1717.43590482215,1730.3728909287097,1708.7943584386271,1812.1270053419253,1738.6151905982294,11000,1794.3919759662488,1762.3873563980792
1730.3728909287097,1742.8275620179274,1736.484308154614,1728.177245963707,1734.3061919326267,1717.43590482215,1812.1270053419253,1738.6151905982294,12000,1794.3919759662488,1762.3873563980792
1730.3728909287097,1742.8275620179274,1736.484308154614,1728.177245963707,1734.3061919326267,1717.43590482215,1812.1270053419253,1738.6151905982294,13000,1794.3919759662488,1762.3873563980792
1730.3728909287097,1742.8275620179274,1736.484308154614,1728.177245963707,1734.3061919326267,1717.43590482215,1812.1270053419253,1738.6151905982294,14000,1794.3919759662488,1762.3873563980792
1734.3061919326267,1748.7933443538575,1738.6151905982294,1730.3728909287097,1736.484308154614,1728.177245963707,1812.1270053419253,1742.8275620179274,15000,1794.3919759662488,1762.3873563980792
1734.3061919326267,1748.7933443538575,1738.6151905982294,1730.3728909287097,1736.484308154614,1728.177245963707,1812.1270053419253,1742.8275620179274,16000,1794.3919759662488,1762.3873563980792
1736.484308154614,1751.0460631893795,1742.8275620179274,1734.3061919326267,1738.6151905982294,1730.3728909287097,1812.1270053419253,1748.7933443538575,17000,1794.3919759662488,1762.3873563980792
1736.484308154614,1751.0460631893795,1742.8275620179274,1734.3061919326267,1738.6151905982294,1730.3728909287097,1812.1270053419253,1748.7933443538575,18000,1794.3919759662488,1762.3873563980792
1736.484308154614,1751.0460631893795,1742.8275620179274,1734.3061919326267,1738.6151905982294,1730.3728909287097,1812.1270053419253,1748.7933443538575,19000,1794.3919759662488,1762.3873563980792
1736.484308154614,1751.0460631893795,1742.8275620179274,1734.3061919326267,1738.6151905982294,1730.3728909287097,1812.1270053419253,1748.7933443538575,20000,1794.3919759662488,1762.3873563980792
1738.6151905982294,1762.3873563980792,1748.7933443538575,1736.484308154614,1742.8275620179274,1734.3061919326267,1827.6952930890848,1751.0460631893795,21000,1812.1270053419253,1794.3919759662488
1742.8275620179274,1794.3919759662488,1751.0460631893795,1738.6151905982294,1748.7933443538575,1736.484308154614,1827.6952930890848,1762.3873563980792,22000,1812.1270053419253,1802.3016827354916
1751.0460631893795,1794.3919759662488,1774.9634253256575,1748.7933443538575,1762.3873563980792,1742.8275620179274,1827.6952930890848,1778.4618910271095,23000,1812.1270053419253,1802.3016827354916
1762.3873563980792,1801.143856943278,1778.4618910271095,1751.0460631893795,1774.9634253256575,1748.7933443538575,1827.6952930890848,1794.3919759662488,24000,1812.1270053419253,1802.3016827354916
1762.3873563980792,1801.143856943278,1778.4618910271095,1751.0460631893795,1774.9634253256575,1748.7933443538575,1827.6952930890848,1794.3919759662488,25000,1812.1270053419253,1802.3016827354916
1762.3873563980792,1801.143856943278,1778.4618910271095,1751.0460631893795,1774.9634253256575,1748.7933443538575,1827.6952930890848,1794.3919759662488,26000,1812.1270053419253,1802.3016827354916
1762.3873563980792,1801.143856943278,1778.4618910271095,1751.0460631893795,1774.9634253256575,1748.7933443538575,1827.6952930890848,1794.3919759662488,27000,1812.1270053419253,1802.3016827354916
1774.9634253256575,1801.143856943278,1786.8435726319722,1762.3873563980792,1778.4618910271095,1751.0460631893795,1827.6952930890848,1794.3919759662488,28000,1812.1270053419253,1802.3016827354916
1774.9634253256575,1801.143856943278,1786.8435726319722,1762.3873563980792,1778.4618910271095,1757.1362492288179,1827.6952930890848,1794.3919759662488,29000,1812.1270053419253,1802.3016827354916
1774.9634253256575,1801.143856943278,1786.8435726319722,1762.3873563980792,1778.4618910271095,1757.1362492288179,1827.6952930890848,1794.3919759662488,30000,1812.1270053419253,1802.3016827354916
1774.9634253256575,1801.143856943278,1786.8435726319722,1762.3873563980792,1778.4618910271095,1757.1362492288179,1827.6952930890848,1794.3919759662488,31000,1812.1270053419253,1802.3016827354916
1774.9634253256575,1801.143856943278,1786.8435726319722,1762.3873563980792,1778.4618910271095,1757.1362492288179,1827.6952930890848,1794.3919759662488,32000,1812.1270053419253,1802.3016827354916
1774.9634253256575,1801.143856943278,1786.8435726319722,1763.8801196056575,1778.4618910271095,1762.3873563980792,1827.6952930890848,1794.3919759662488,33000,1812.1270053419253,1802.3016827354916
