misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
2020,727560,249,-2.20447914,1.3941498041152953,0.0033421402797102926,8.401386799663305
2040,734760,249,-2.2051979999999993,1.3937042474746704,-0.0027522090822458267,0.6491214692592621
2060,741960,249,-2.5327845700000005,1.3939724445343018,0.010613459441810847,6.501296892762184
2080,749160,249,-1.6314140599999991,1.3950701832771302,-0.001989162154495716,0.33175814151763916
2100,756360,249,-5.5589609399999995,1.395306408405304,-0.005425129807554186,8.056951516866684
2120,763560,249,-3.47247021,1.394048237800598,-0.006754138320684433,1.7607446372509004
2140,770760,249,1.5307894000000004,1.3936280965805055,-0.01135718561708927,0.12581033036112785
2160,777960,249,-1.0383212499999999,1.3928192973136901,0.0007128689438104629,7.237324488162995
2180,785160,249,-3.0692533099999997,1.3912136435508728,0.0014856690540909767,0.6861138939857483
2200,792360,249,-3.1228114199999992,1.391633975505829,-0.009257007203996182,1.5035447098314763
2220,799560,249,-4.24090215,1.390775978565216,-0.011236628144979477,0.31655368357896807
2240,806760,249,-1.1517428099999996,1.3910375714302063,-0.006026342511177063,5.249565173685551
2260,813960,249,1.6620580699999998,1.3909000277519226,0.00040570194832980635,4.9622349858284
2280,821160,249,-2.55272444,1.3900607705116272,0.0028007298009470106,7.402715298905969
2300,828360,249,-5.98404422,1.3902450323104858,-0.008462007209891454,5.320216044783592
2320,835560,249,-6.0945380300000025,1.3898506164550781,0.0002784218639135361,7.020209574699402
2340,842760,250,-4.49225337,1.3898845195770264,-0.002946813590824604,3.769795706868172
2360,849960,249,-4.84265704,1.390541660785675,0.0001363125687930733,10.329143857955932
2380,857160,250,-3.8186794600000007,1.3910014033317566,0.003035314381122589,1.5573668301105499
2400,864360,249,-5.000214250000002,1.3916624069213868,0.001893499493598938,1.9164303302764893
2420,871560,249,-3.7986999800000003,1.392623734474182,0.0009509891271591187,6.3043744504451755
2440,878760,250,-3.216370559999999,1.3917134761810304,0.0033517718315124513,5.109094524383545
2460,885960,250,-1.6408694,1.3911841988563538,-0.01739748865365982,4.596903470903635
2480,893160,249,-1.1597924800000001,1.3917973995208741,0.0020149677991867067,4.2382057964801785
2500,900360,250,-2.42229504,1.3921619534492493,-0.004579164087772369,2.0282014861702917
2520,907560,249,0.8199875099999998,1.3917118668556214,-0.004164681583642959,0.17118628099560737
2540,914760,249,-2.806107350000001,1.3906570076942444,-0.002033001929521561,0.8396238401532173
2560,921960,250,-5.660614949999999,1.3898895263671875,-0.005764290690422058,1.6436502456665039
2580,929160,250,-2.8592722000000004,1.3910226345062255,0.0003534048795700073,7.705003230273723
2600,936360,250,0.19179234000000045,1.3896986722946167,-0.008349432051181794,4.97464764714241
2620,943560,250,-1.779028870000001,1.3900147557258606,-0.0010158210992813111,14.40623406767845
2640,950760,250,-2.75565071,1.3906897187232972,-0.00018824264407157898,0.7926898002624512
2660,957960,250,-2.85015898,1.3908947110176086,-0.006789907813072205,0.7645041346549988
2680,965160,250,-4.693094749999999,1.3895276546478272,-0.00606842590495944,1.2930801585316658
2700,972360,250,-1.7933941700000002,1.3888428211212158,0.001151907444000244,7.635050785541535
2720,979560,250,-1.1623453600000004,1.3887740850448609,-0.008983106911182403,0.16009609624743462
2740,986760,250,0.6772525699999996,1.3881494760513307,-0.01570007624104619,2.793828362226486
2760,993960,250,-4.48542183,1.3881560564041138,0.004794532060623169,3.6199436873197555
2780,1001160,250,-4.76063044,1.3875316619873046,0.006368505550199188,6.308255434036255
2800,1008360,250,-1.4240015499999998,1.3877437472343446,0.006284488737583161,9.470039550960063
2820,1015560,250,-4.586510249999999,1.387946093082428,0.0023621133994311096,9.434558725357055
2840,1022760,250,-5.2179584499999985,1.387507438659668,0.010049210488796234,4.590666629374027
2860,1029960,250,-2.0139645199999996,1.3880672097206115,-0.0006383322179317474,5.730892473459244
2880,1037160,250,-4.86834944,1.3884143829345703,-0.010308659542351961,0.37993794679641724
2900,1044360,250,-3.5862270499999993,1.3871684908866881,0.007897834852337837,15.088763439655304
2920,1051560,250,-4.75417121,1.3881450653076173,0.004323936812579632,11.627011442184449
2940,1058760,249,-4.6136154099999995,1.387208354473114,-0.004692798107862472,4.343013620376587
2960,1065960,249,-6.5757971799999995,1.3868637442588807,-0.00606680428609252,3.1670500695705415
2980,1073160,249,-3.5844222500000007,1.3872339844703674,0.0003847658634185791,5.487847399711609
3000,1080360,250,-3.42663316,1.3875389099121094,-0.0013251736760139464,3.1676970958709716
3020,1087560,250,-2.0448257300000003,1.386288058757782,0.007622376084327698,13.831380367279053
3040,1094760,250,-1.7484303500000002,1.3855361938476562,0.0060636065900325775,3.6264479517936707
3060,1101960,250,-5.418371510000001,1.3857526302337646,-0.0056437145918607715,10.259098243713378
3080,1109160,250,1.11584346,1.3834661364555358,0.0016616657376289368,1.4988764524459839
3100,1116360,249,-5.404810290000001,1.3825826168060302,0.0008397310972213745,17.94761826694012
3120,1123560,249,-4.1031729299999995,1.3831607103347778,0.00014447979629039764,1.5842074558138848
3140,1130760,249,-3.1194383100000005,1.3828178763389587,-0.006976810039486736,5.094446732103824
3160,1137960,249,-2.6683784200000003,1.3813801407814026,-0.0008301235735416413,2.979236863553524
3180,1145160,249,-3.75045987,1.3821345448493958,0.0019849419593811037,13.150680708885194
3200,1152360,249,-5.263506260000001,1.3824132323265075,-0.0005750774580519646,3.52106376811862
3220,1159560,249,-3.81737862,1.3816209793090821,0.0008312791585922241,4.187000638246536
3240,1166760,250,-0.5121302100000004,1.3801280975341796,-0.000932775973342359,6.677265448868274
3260,1173960,250,-3.7413522700000006,1.3812116026878356,-0.0030241806991398333,7.931592202186584
3280,1181160,250,-3.10461238,1.380825901031494,-0.002361058024689555,1.0306854218244552
3300,1188360,250,0.33924064999999987,1.3806662082672119,0.009631538391113281,5.2642956376075745
3320,1195560,250,-6.63290719,1.3803188920021057,-0.0065496225841343405,3.698199087381363
