reward 5,reward 1,StepNum,reward 0,reward 4,reward 6,reward 9,reward 8,reward 2,reward 3,reward 7
1321.0955399813085,1375.2360493451636,1000,1379.1662912709285,1328.6188958547073,1317.6041218876571,1173.1862864831246,1247.9437059365573,1363.2097704108128,1343.1192644754913,1261.8173187756113
1343.1192644754913,1379.1662912709285,2000,1490.9605956227224,1352.111230569362,1328.6188958547073,1291.3792127153658,1317.6041218876571,1375.2360493451636,1363.2097704108128,1321.0955399813085
1408.642785749683,1490.9605956227224,3000,1749.801726822375,1416.0499270904704,1408.621984213355,1375.2360493451636,1379.1662912709285,1457.8212990420523,1443.2087736927263,1407.2977583055813
1416.0499270904704,1598.5474265810813,4000,1749.801726822375,1443.2087736927263,1408.642785749683,1381.1898629121297,1407.2977583055813,1490.9605956227224,1457.8212990420523,1408.621984213355
1443.2087736927263,1749.801726822375,5000,1800.3202702305473,1457.8212990420523,1416.860678996616,1408.621984213355,1408.642785749683,1598.5474265810813,1490.9605956227224,1416.0499270904704
1444.5835142143592,1749.801726822375,6000,1800.3202702305473,1457.8212990420523,1443.2087736927263,1416.0499270904704,1416.860678996616,1598.5474265810813,1490.9605956227224,1425.2087579154347
1444.5835142143592,1749.801726822375,7000,1800.3202702305473,1457.8212990420523,1443.2087736927263,1425.2087579154347,1431.2113513030652,1598.5474265810813,1490.9605956227224,1437.4969532680013
1457.8212990420523,1800.3202702305473,8000,2350.0707281733266,1490.9605956227224,1444.5835142143592,1431.2113513030652,1437.4969532680013,1749.801726822375,1598.5474265810813,1443.2087736927263
1490.9605956227224,1800.3202702305473,9000,2350.0707281733266,1532.8945484169683,1457.8212990420523,1444.5835142143592,1445.6116491267392,1749.801726822375,1598.5474265810813,1452.7727771950836
1532.8945484169683,1800.3202702305473,10000,2350.0707281733266,1598.5474265810813,1490.9605956227224,1445.6116491267392,1452.7727771950836,1749.801726822375,1714.1964835983636,1457.8212990420523
1532.8945484169683,1800.3202702305473,11000,2350.0707281733266,1598.5474265810813,1490.9605956227224,1452.7727771950836,1457.8212990420523,1749.801726822375,1714.1964835983636,1463.6656152813414
1532.8945484169683,1800.3202702305473,12000,2350.0707281733266,1598.5474265810813,1490.9605956227224,1452.7727771950836,1457.8212990420523,1749.801726822375,1714.1964835983636,1463.6656152813414
1536.0191812828864,1800.3202702305473,13000,2350.0707281733266,1598.5474265810813,1532.8945484169683,1457.8212990420523,1463.6656152813414,1749.801726822375,1714.1964835983636,1490.9605956227224
1536.0191812828864,1800.3202702305473,14000,2350.0707281733266,1598.5474265810813,1532.8945484169683,1482.2347821307285,1490.9605956227224,1749.801726822375,1714.1964835983636,1500.627907910676
1536.0191812828864,1800.3202702305473,15000,2350.0707281733266,1598.5474265810813,1532.8945484169683,1482.2347821307285,1490.9605956227224,1749.801726822375,1714.1964835983636,1500.627907910676
1598.5474265810813,1800.3202702305473,16000,2350.0707281733266,1666.4846068729235,1536.0191812828864,1490.9605956227224,1500.627907910676,1749.801726822375,1714.1964835983636,1532.8945484169683
1598.5474265810813,1800.3202702305473,17000,2350.0707281733266,1666.4846068729235,1536.0191812828864,1500.627907910676,1523.9987729334368,1749.801726822375,1714.1964835983636,1532.8945484169683
1666.4846068729235,1800.3202702305473,18000,2350.0707281733266,1671.4308353950817,1598.5474265810813,1523.9987729334368,1532.8945484169683,1749.801726822375,1714.1964835983636,1536.0191812828864
1666.4846068729235,1800.3202702305473,19000,2350.0707281733266,1671.4308353950817,1598.5474265810813,1523.9987729334368,1532.8945484169683,1749.801726822375,1714.1964835983636,1536.0191812828864
