reward 3,reward 4,reward 0,reward 7,reward 8,StepNum,reward 2,reward 1,reward 6,reward 9,reward 5
575.4303866070906,559.1753975238469,619.947901400996,486.073281523183,484.8676952707691,1000,583.1262276629466,614.6625637590778,503.85294608738974,475.90579048531526,527.7345444099763
583.1262276629466,577.1123182165832,639.0861495128045,564.645563474967,560.773571636692,2000,614.6625637590778,619.947901400996,570.1914314745252,559.1753975238469,575.4303866070906
639.0861495128045,619.947901400996,804.1599495861341,606.1990235799869,583.1262276629466,3000,640.7841654777869,683.1703269969204,609.9771139598035,577.1123182165832,614.6625637590778
641.4719590381812,640.7841654777869,804.1599495861341,626.9939095407068,619.947901400996,4000,683.1703269969204,788.2583490006339,634.3379562197647,614.6625637590778,639.0861495128045
643.8941708867519,642.5343807866086,804.1599495861341,639.0861495128045,634.3379562197647,5000,683.1703269969204,788.2583490006339,640.7841654777869,626.9939095407068,641.4719590381812
748.5642323661086,728.1626717151229,835.9280966041197,664.9360464931686,643.8941708867519,6000,788.2583490006339,804.1599495861341,683.1703269969204,642.5343807866086,694.1535411789631
