reward 27,reward 2,StepNum,reward 1,reward 11,reward 14,reward 10,reward 12,reward 6,reward 23,reward 13,reward 9,reward 29,reward 21,reward 26,reward 3,reward 7,reward 28,reward 0,reward 16,reward 4,reward 24,reward 18,reward 15,reward 25,reward 20,reward 19,reward 22,reward 17,reward 8,reward 5
161.38781592541505,261.4200580270982,11000,264.98130047053667,193.35832296102205,185.97116096765126,194.7580067692557,193.31979323048753,213.18694402329834,174.86710918691517,191.763600360473,199.13436686792858,-99572.3303783441,175.11957847601408,162.20526403859495,256.1335995809985,207.6221728057485,-99552.86948689353,332.1813594006932,184.7036282292774,230.53830052115583,173.3346699715862,181.48963815833434,185.88858871748351,169.41151000525235,178.80183089556135,180.70396138142962,175.03605735265944,183.59097466727897,202.156022482803,215.71822908450292
170.8476646123683,261.4200580270982,12000,264.98130047053667,194.7580067692557,191.763600360473,199.13436686792858,193.35832296102205,215.71822908450292,175.11957847601408,193.31979323048753,202.156022482803,169.41151000525235,180.70396138142962,173.3346699715862,256.1335995809985,213.18694402329834,169.56101361012918,332.1813594006932,185.97116096765126,253.74160865901752,175.03605735265944,184.7036282292774,185.9730711951977,174.86710918691517,181.48963815833434,183.59097466727897,178.80183089556135,185.88858871748351,207.6221728057485,230.53830052115583
175.03605735265944,264.98130047053667,13000,286.0804225473714,199.13436686792858,193.31979323048753,202.156022482803,194.7580067692557,230.53830052115583,180.70396138142962,193.35832296102205,207.6221728057485,173.3346699715862,183.59097466727897,175.11957847601408,261.4200580270982,215.71822908450292,174.86710918691517,332.1813594006932,190.83310037184563,256.1335995809985,178.80183089556135,185.97116096765126,191.763600360473,177.20639571451588,184.7036282292774,185.88858871748351,181.48963815833434,185.9730711951977,213.18694402329834,253.74160865901752
178.15377562231285,264.98130047053667,14000,286.0804225473714,199.13436686792858,193.35832296102205,202.156022482803,194.7580067692557,230.53830052115583,183.59097466727897,194.11709786361303,207.6221728057485,175.11957847601408,184.7036282292774,178.80183089556135,261.4200580270982,215.71822908450292,177.20639571451588,332.1813594006932,191.763600360473,256.1335995809985,181.48963815833434,185.9730711951977,193.31979323048753,180.70396138142962,185.88858871748351,185.97116096765126,184.05538805069236,190.83310037184563,213.18694402329834,253.74160865901752
180.70396138142962,264.98130047053667,15000,286.0804225473714,199.13436686792858,193.86794623363826,202.156022482803,194.7580067692557,230.53830052115583,184.7036282292774,194.11709786361303,207.6221728057485,178.15377562231285,185.88858871748351,181.48963815833434,261.4200580270982,215.71822908450292,178.80183089556135,332.1813594006932,193.31979323048753,256.1335995809985,184.05538805069236,190.83310037184563,193.35832296102205,183.59097466727897,185.97116096765126,185.9730711951977,185.66164977273843,191.763600360473,213.18694402329834,253.74160865901752
183.59097466727897,286.0804225473714,16000,332.1813594006932,207.6221728057485,194.7580067692557,213.18694402329834,202.156022482803,255.3046229567508,185.88858871748351,199.13436686792858,215.71822908450292,180.70396138142962,185.9730711951977,184.05538805069236,264.98130047053667,253.74160865901752,181.48963815833434,347.9386215549627,193.86794623363826,261.4200580270982,185.66164977273843,193.31979323048753,194.11709786361303,184.7036282292774,190.83310037184563,191.763600360473,185.97116096765126,193.35832296102205,230.53830052115583,256.1335995809985
184.05538805069236,286.0804225473714,17000,332.1813594006932,207.6221728057485,194.7580067692557,213.18694402329834,202.156022482803,255.3046229567508,185.97116096765126,199.13436686792858,215.71822908450292,181.48963815833434,190.83310037184563,184.7036282292774,264.98130047053667,253.74160865901752,183.59097466727897,347.9386215549627,193.86794623363826,261.4200580270982,185.88858871748351,193.31979323048753,194.11709786361303,185.66164977273843,191.763600360473,192.84101655666842,185.9730711951977,193.35832296102205,230.53830052115583,256.1335995809985
184.05538805069236,286.0804225473714,18000,332.1813594006932,207.6221728057485,194.7580067692557,213.18694402329834,202.156022482803,255.3046229567508,185.97116096765126,199.13436686792858,215.71822908450292,181.48963815833434,190.83310037184563,184.7036282292774,264.98130047053667,253.74160865901752,183.59097466727897,347.9386215549627,193.86794623363826,261.4200580270982,185.88858871748351,193.31979323048753,194.11709786361303,185.66164977273843,191.763600360473,192.84101655666842,185.9730711951977,193.35832296102205,230.53830052115583,256.1335995809985
185.88858871748351,295.5981498381689,19000,332.1813594006932,213.18694402329834,201.92038768882622,215.71822908450292,207.6221728057485,256.1335995809985,190.83310037184563,202.156022482803,230.53830052115583,184.7036282292774,192.84101655666842,185.97116096765126,286.0804225473714,255.3046229567508,185.66164977273843,347.9386215549627,194.7580067692557,264.98130047053667,187.43980418951185,193.86794623363826,199.13436686792858,185.9730711951977,193.31979323048753,193.35832296102205,191.763600360473,194.11709786361303,253.74160865901752,261.4200580270982
185.9730711951977,332.1813594006932,20000,341.30984615476393,215.71822908450292,202.156022482803,230.53830052115583,213.18694402329834,261.4200580270982,191.763600360473,207.6221728057485,253.74160865901752,185.88858871748351,193.31979323048753,187.43980418951185,295.5981498381689,256.1335995809985,185.97116096765126,347.9386215549627,199.13436686792858,286.0804225473714,190.83310037184563,194.11709786361303,201.92038768882622,187.49599478066693,193.35832296102205,193.86794623363826,192.84101655666842,194.7580067692557,255.3046229567508,264.98130047053667
